"X","Y","F39L","tkxI","VNSF","C1hA"
"3.0","3.0","-76","100","-76","-87"
"3.0","3.0","-76","-84","-66","-87"
"3.0","3.0","-72","-84","-68","-87"
"3.0","3.0","-72","-84","-68","-92"
"3.0","3.0","-72","-84","-68","-84"
"3.0","3.0","-72","-86","-68","-84"
"3.0","3.0","-72","-86","-67","-84"
"3.0","3.0","-72","-86","-76","-85"
"3.0","3.0","-73","-86","-76","-85"
"3.0","3.0","-75","-82","-73","-81"
"3.0","3.0","-79","-82","-73","-78"
"3.0","3.0","-75","-82","-73","-79"
"3.0","3.0","-76","-87","-73","-79"
"3.0","3.0","-77","-87","-73","-79"
"3.0","3.0","-81","-87","-73","-79"
"3.0","3.0","-81","-92","-71","-79"
"3.0","3.0","-81","-92","-70","-85"
"3.0","3.0","-77","-92","-70","-85"
"3.0","3.0","-77","-92","-70","-81"
"3.0","3.0","-77","-86","-69","-98"
"3.0","3.0","-77","-86","-69","-87"
"3.0","3.0","-78","-86","-69","-87"
"3.0","3.0","-78","-92","-69","-87"
"3.0","3.0","-78","-92","-92","-80"
"3.0","3.0","-78","-92","-75","-80"
"3.0","3.0","-78","-82","-75","-80"
"3.0","3.0","-78","-82","-75","-83"
"3.0","3.0","-78","-86","-75","-87"
"3.0","3.0","-78","-86","-75","-87"
